latitude,longitude,lease_term,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,location_freq,type_apartment,type_basement,type_duplex,type_house,type_other,type_townhouse,availability_days
50.6771806,-113.8801201,12.0,1950.0,3.0,1.0,1150.0,0,0,1,1,3.0,0,0,0,1,0,0,30
51.2578452,-113.9797509,12.0,2395.0,2.0,2.5,1536.0,0,0,1,1,2.0,0,0,0,1,0,0,0
51.2569117,-113.980575,12.0,1850.0,2.0,1.0,805.0,0,0,0,1,2.0,0,1,0,0,0,0,0
51.1895447,-115.5615767,12.0,1050.0,2.0,1.0,805.0,0,0,0,0,1.0,0,0,0,0,1,0,30
53.3378433,-113.4306374,12.0,2000.0,3.0,2.5,1477.0,0,0,1,1,14.0,0,0,0,1,0,0,0
53.3494512,-113.4366176,12.0,1500.0,1.0,1.0,700.0,0,0,0,0,14.0,0,1,0,0,0,0,0
53.3438309,-113.4124413,12.0,2200.0,3.0,2.5,805.0,0,0,0,0,14.0,0,0,0,1,0,0,0
53.353495435856,-113.416777344531,12.0,2195.0,3.0,2.5,1700.0,0,0,0,0,14.0,0,0,0,1,0,0,0
53.3553327,-113.4352133,3.0,1850.0,1.0,1.0,596.0,1,0,1,1,14.0,1,0,0,0,0,0,0
53.362737,-113.437809,12.0,1818.0,2.0,2.0,938.0,0,0,1,1,14.0,1,0,0,0,0,0,30
53.362737,-113.437809,12.0,1588.0,1.0,1.0,576.0,0,0,1,1,14.0,1,0,0,0,0,0,61
53.372185134875,-113.411554123279,12.0,2250.0,3.0,2.5,1477.0,0,0,1,1,14.0,0,0,0,1,0,0,30
53.3650399,-113.4369784,12.0,1075.0,1.0,1.0,805.0,0,0,1,1,14.0,0,0,0,1,0,0,30
53.363901,-113.438616,12.0,1998.0,3.0,1.5,1236.0,0,0,1,1,14.0,0,0,0,0,0,1,61
53.341026,-113.417064,12.0,1965.0,2.0,2.5,1300.0,0,0,0,1,14.0,0,0,0,0,0,1,61
53.3494129,-113.4381854,12.0,2100.0,3.0,2.5,1400.0,0,0,1,1,14.0,0,0,0,0,0,1,75
53.3575311,-113.4296658,12.0,1950.0,3.0,2.5,1400.0,0,0,0,1,14.0,0,0,0,1,0,0,92
53.3516784,-113.3931892,12.0,1800.0,3.0,2.5,1400.0,0,0,0,0,14.0,0,0,0,1,0,0,92
51.3824065,-113.5330306,12.0,950.0,1.0,1.0,750.0,0,0,1,1,2.0,1,0,0,0,0,0,0
51.3824065,-113.5330306,12.0,1150.0,2.0,1.0,850.0,0,0,1,1,2.0,1,0,0,0,0,0,0
50.6867451,-114.2291888,12.0,1150.0,1.0,1.0,805.0,0,0,0,0,1.0,1,0,0,0,0,0,30
52.391158620937,-113.811946085181,12.0,2425.0,4.0,3.5,1240.0,0,0,0,0,3.0,0,0,0,0,0,1,14
52.375948,-113.7695063,12.0,1400.0,1.0,1.0,780.0,1,0,0,0,3.0,0,1,0,0,0,0,30
